id	宽数量	高数量	数量	组别	时间限制	3星时间	2星时间	加时钻石	消除钻石	重置钻石	钻石出现概率	最大钻石出现数量	麻将大小	关卡表	连击时间
1	3	3	8	4	9	6	3	5	5	5	99	5	185		1.5
2	4	2	6	4	8	5	2	5	5	5	99	5	200		1.5
3	3	3	6	4	8	5	2	5	5	5	99	5	185		1.5
4	4	4	12	4	11	7	3	5	5	5	99	5	160		1.5
5	4	4	12	4	11	7	3	5	5	5	98	5	160		1.5
6	3	4	12	4	11	7	3	5	5	5	98	5	160		1.5
7	2	3	6	4	8	5	2	5	5	5	98	5	185		1.5
8	2	4	6	4	8	5	2	10	5	10	98	7	160		1.5
9	2	2	2	4	6	4	2	10	5	10	97	7	205		1.5
10	4	3	12	4	11	7	3	10	5	10	97	7	185		1.5
11	2	3	6	4	8	5	2	10	5	10	97	7	185		1.5
12	4	2	6	4	8	5	2	10	5	10	97	7	200		1.5
13	2	3	6	4	8	5	2	10	5	10	96	7	185		1.5
14	4	3	12	4	11	7	3	10	5	10	96	7	185		1.5
15	4	4	12	4	11	7	3	10	5	10	96	7	160		1.5
16	3	3	8	2	13	8	4	15	5	15	96	9	185		1.5
17	4	4	14	2	19	12	6	15	5	15	95	9	160		1.5
18	6	5	30	2	35	23	11	15	5	15	95	9	140		1.5
19	4	6	24	2	29	19	9	15	5	15	95	9	120		1.5
20	4	4	14	2	19	12	6	15	5	15	95	9	160		1.5
21	5	3	14	2	19	12	6	15	5	15	94	9	185		1.5
22	5	3	14	2	19	12	6	15	5	15	94	9	185		1.5
23	4	4	16	2	21	14	7	15	5	15	94	9	160		1.5
24	7	3	20	2	25	16	8	20	5	20	94	11	165		1.5
25	7	6	38	2	43	28	14	20	5	20	93	11	120		1.5
26	5	5	24	2	29	19	9	20	5	20	93	10	140		1.4
27	7	5	32	2	37	24	12	20	5	20	93	10	140		1.4
28	5	5	24	2	29	19	9	20	5	20	93	10	140		1.4
29	6	6	36	2	41	27	13	20	5	20	92	10	120		1.4
30	4	6	24	2	29	19	9	20	5	20	92	10	120		1.4
31	4	6	24	2	29	19	9	20	5	20	92	10	120		1.4
32	7	5	32	4	21	14	7	25	5	25	92	12	140		1.4
33	4	4	14	4	12	8	4	25	5	25	91	12	160		1.4
34	6	5	28	4	19	12	6	25	5	25	91	12	140		1.4
35	7	4	24	4	17	11	5	25	5	25	91	12	160		1.4
36	7	6	42	4	26	17	8	25	5	25	91	12	120		1.4
37	4	3	12	4	11	7	3	25	5	25	90	12	185		1.4
38	7	6	42	4	26	17	8	25	5	25	90	12	120		1.4
39	8	4	30	4	20	13	6	25	5	25	90	11	155		1.4
40	6	4	24	4	17	11	5	30	5	30	90	13	160		1.4
41	4	4	14	4	12	8	4	30	5	30	89	13	160		1.4
42	4	6	24	4	17	11	5	30	5	30	89	13	120		1.4
43	5	5	24	4	17	11	5	30	5	30	89	13	140		1.4
44	8	6	48	4	29	19	9	30	5	30	89	13	120		1.4
45	7	5	30	4	20	13	6	30	5	30	88	13	140		1.4
46	7	7	46	4	28	18	9	30	5	30	88	13	100		1.4
47	7	7	48	4	29	19	9	30	5	30	88	13	100		1.4
48	9	5	40	2	45	30	15	35	5	35	88	14	140		1.4
49	8	5	38	2	43	28	14	35	5	35	87	14	140		1.4
50	8	5	38	2	42	28	14	35	5	35	87	14	140		1.4
51	7	7	48	2	52	34	17	35	5	35	87	14	100		1.4
52	9	6	50	2	54	36	18	35	5	35	87	14	120		1.4
53	9	6	50	2	54	36	18	35	5	35	86	14	120		1.4
54	8	4	30	2	34	22	11	35	5	35	86	14	155		1.4
55	5	6	28	2	32	21	10	35	5	35	86	14	120		1.4
56	5	7	30	2	34	22	11	40	5	40	86	15	100		1.4
